,Diabetic_Retinopathy,Media_Hazy,Myopic_Retinopathy,Normal,Optic_Disc_Disorder
Diabetic_Retinopathy,24,2,1,7,0
Media_Hazy,1,44,1,0,0
Myopic_Retinopathy,3,0,24,0,2
Normal,2,1,2,216,1
Optic_Disc_Disorder,2,2,1,18,5
