epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_sec
1,2.5174973011016846,0.6028344035148621,0.7227998971939087,0.8189415335655212,0.0010000000474974513,89.89806342124939
2,1.3122498989105225,0.7286553978919983,0.6445364952087402,0.8245125412940979,0.0010000000474974513,52.46866512298584
3,0.9793304204940796,0.7663325071334839,0.6775362491607666,0.8328690528869629,0.0010000000474974513,51.99259090423584
4,0.7492671012878418,0.7950224876403809,0.5735186338424683,0.8523676991462708,0.0010000000474974513,50.8483681678772
5,0.6494848132133484,0.8154165148735046,0.5359939932823181,0.8523676991462708,0.0010000000474974513,50.923208236694336
6,0.6008732318878174,0.8157621622085571,0.5457065105438232,0.8607242107391357,0.0010000000474974513,50.92992877960205
7,0.5597115159034729,0.8309713006019592,0.4967139661312103,0.8690807819366455,0.0010000000474974513,50.88494277000427
8,0.524916410446167,0.829934298992157,0.6025763154029846,0.8300835490226746,0.0010000000474974513,50.17512106895447
9,0.5069409012794495,0.8396128416061401,0.48694005608558655,0.8607242107391357,0.0010000000474974513,51.987998962402344
10,0.47335347533226013,0.8413411974906921,0.5489994883537292,0.835654616355896,0.0010000000474974513,51.0365104675293
11,0.45642751455307007,0.8468717336654663,0.5289952158927917,0.8495821952819824,0.0010000000474974513,52.0520076751709
12,0.4687417149543762,0.8458347916603088,0.4778573215007782,0.8384401202201843,0.0010000000474974513,51.145915269851685
13,0.479239284992218,0.8441064357757568,0.4899134337902069,0.8579387068748474,0.0010000000474974513,50.68025851249695
14,0.40953606367111206,0.8617352247238159,0.46438369154930115,0.8607242107391357,0.0010000000474974513,50.34664750099182
15,0.4703981876373291,0.8489457368850708,0.5643079280853271,0.8495821952819824,0.0010000000474974513,50.38963484764099
16,0.42544323205947876,0.8568959832191467,0.48835352063179016,0.844011127948761,0.0010000000474974513,50.41317129135132
17,0.44331997632980347,0.8492913842201233,0.5022764205932617,0.8495821952819824,0.0010000000474974513,49.91758990287781
18,0.4468904733657837,0.8468717336654663,0.4747471809387207,0.8607242107391357,0.0010000000474974513,51.12405586242676
19,0.42315974831581116,0.856204628944397,0.5426304936408997,0.8328690528869629,0.0010000000474974513,50.55170559883118
20,0.38496458530426025,0.8651918172836304,0.4651133120059967,0.8662952780723572,0.0005000000237487257,49.899518966674805
21,0.38370269536972046,0.8662288188934326,0.47382211685180664,0.8607242107391357,0.0005000000237487257,49.73725199699402
22,0.38536539673805237,0.8665744662284851,0.46078452467918396,0.8551532030105591,0.0005000000237487257,50.05035471916199
23,0.3717667758464813,0.874524712562561,0.5069373250007629,0.8412256240844727,0.0005000000237487257,49.89030122756958
24,0.3832959234714508,0.8676114678382874,0.4773281216621399,0.8551532030105591,0.0005000000237487257,49.843215465545654
25,0.37412774562835693,0.8686484694480896,0.48829302191734314,0.8523676991462708,0.0005000000237487257,49.71618986129761
26,0.3735046088695526,0.872105062007904,0.5025120377540588,0.8579387068748474,0.0005000000237487257,49.236708879470825
27,0.3709432780742645,0.8707224130630493,0.47128957509994507,0.8662952780723572,0.0005000000237487257,49.060850620269775
28,0.3521963953971863,0.876944363117218,0.4650605618953705,0.8607242107391357,0.0002500000118743628,48.871774435043335
29,0.3551611006259918,0.8752160668373108,0.46276259422302246,0.8690807819366455,0.0002500000118743628,49.328832149505615
30,0.3542644679546356,0.8797096610069275,0.4777718484401703,0.8662952780723572,0.0002500000118743628,49.399121046066284
31,0.35149773955345154,0.8724507689476013,0.4613259732723236,0.8662952780723572,0.0002500000118743628,49.66881561279297
32,0.35027751326560974,0.8759073615074158,0.47193238139152527,0.8579387068748474,0.0002500000118743628,49.40810680389404
33,0.34207549691200256,0.880746603012085,0.46838366985321045,0.8635097742080688,0.0001250000059371814,49.761640548706055
34,0.34914401173591614,0.8783270120620728,0.4644303619861603,0.8467966318130493,0.0001250000059371814,49.73078513145447
35,0.3411903977394104,0.8793639540672302,0.4641212821006775,0.8551532030105591,0.0001250000059371814,49.41104817390442
36,0.3410413861274719,0.8793639540672302,0.4716765284538269,0.8635097742080688,0.0001250000059371814,49.264495611190796
37,0.33453747630119324,0.8831662535667419,0.45828747749328613,0.8551532030105591,0.0001250000059371814,50.08266830444336
38,0.33654671907424927,0.882474958896637,0.45628345012664795,0.8579387068748474,0.0001250000059371814,49.743223428726196
39,0.32686376571655273,0.8835119009017944,0.4608728885650635,0.8579387068748474,0.0001250000059371814,49.63377666473389
40,0.33649542927742004,0.8883512020111084,0.47222840785980225,0.8635097742080688,0.0001250000059371814,48.91529083251953
41,0.34040379524230957,0.8793639540672302,0.4631437361240387,0.8635097742080688,0.0001250000059371814,48.83154845237732
42,0.3448394238948822,0.882474958896637,0.46193093061447144,0.8551532030105591,0.0001250000059371814,49.08263444900513
43,0.3437701165676117,0.8783270120620728,0.4581119120121002,0.8607242107391357,0.0001250000059371814,49.43671679496765
44,0.33176738023757935,0.8831662535667419,0.4569038152694702,0.8551532030105591,6.25000029685907e-05,49.40942645072937
45,0.325848251581192,0.8893882036209106,0.4563210606575012,0.8579387068748474,6.25000029685907e-05,48.7511100769043
46,0.3217761516571045,0.8855859041213989,0.4565029740333557,0.8551532030105591,6.25000029685907e-05,49.25950336456299
47,0.3323383331298828,0.880746603012085,0.45213156938552856,0.8579387068748474,6.25000029685907e-05,49.13262605667114
48,0.32510071992874146,0.8835119009017944,0.45669054985046387,0.8607242107391357,6.25000029685907e-05,48.85676836967468
49,0.32750096917152405,0.8838576078414917,0.4581768810749054,0.8551532030105591,6.25000029685907e-05,49.20505332946777
50,0.33452141284942627,0.8793639540672302,0.4602520763874054,0.8635097742080688,6.25000029685907e-05,48.999130725860596
51,0.3316567540168762,0.8886968493461609,0.4600048363208771,0.8551532030105591,6.25000029685907e-05,48.86884617805481
52,0.32405000925064087,0.8838576078414917,0.4585028886795044,0.8523676991462708,6.25000029685907e-05,49.48204255104065
53,0.32789701223373413,0.8804009556770325,0.4573993682861328,0.8579387068748474,3.125000148429535e-05,49.13840579986572
54,0.3131081461906433,0.8918077945709229,0.4569132924079895,0.8579387068748474,3.125000148429535e-05,49.070939779281616
55,0.34396621584892273,0.8873142004013062,0.4586610794067383,0.8579387068748474,3.125000148429535e-05,48.46897220611572
56,0.3323967754840851,0.8810923099517822,0.4564450681209564,0.8579387068748474,3.125000148429535e-05,48.680694580078125
57,0.3284907042980194,0.8869685530662537,0.4557476341724396,0.8579387068748474,3.125000148429535e-05,49.30138683319092
