epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_sec
1,0.5841281414031982,0.8061988949775696,0.4612061679363251,0.8495821952819824,0.0010000000474974513,141.26617908477783
2,0.452021062374115,0.8450282216072083,0.43145114183425903,0.8467966318130493,0.0010000000474974513,89.95255851745605
3,0.4148605465888977,0.8594307899475098,0.441943883895874,0.8579387068748474,0.0010000000474974513,89.36539793014526
4,0.3926754295825958,0.8688789010047913,0.4185270667076111,0.8662952780723572,0.0010000000474974513,91.4110016822815
5,0.3767029941082001,0.8718746304512024,0.41360601782798767,0.8718662858009338,0.0010000000474974513,87.3623559474945
6,0.36293795704841614,0.8778660893440247,0.4287934899330139,0.8662952780723572,0.0010000000474974513,86.70464134216309
7,0.3601435422897339,0.8768291473388672,0.4086068272590637,0.8774373531341553,0.0010000000474974513,87.07998585700989
8,0.35141119360923767,0.881898820400238,0.41828280687332153,0.8746517896652222,0.0010000000474974513,85.21319937705994
9,0.3474595248699188,0.8820140361785889,0.4217258095741272,0.8774373531341553,0.0010000000474974513,85.12889671325684
10,0.33790355920791626,0.8842032551765442,0.4173612594604492,0.8746517896652222,0.0010000000474974513,85.5541479587555
11,0.33840036392211914,0.885009765625,0.41470396518707275,0.8635097742080688,0.0010000000474974513,84.7342267036438
12,0.33392494916915894,0.8844336867332458,0.4160536229610443,0.8662952780723572,0.0010000000474974513,83.98159050941467
13,0.3218778371810913,0.8871989846229553,0.40792953968048096,0.8802228569984436,0.0005000000237487257,86.8327567577362
14,0.3257961571216583,0.886738121509552,0.40589895844459534,0.8746517896652222,0.0005000000237487257,87.0600688457489
15,0.31749165058135986,0.8907708525657654,0.40929409861564636,0.8690807819366455,0.0005000000237487257,85.2979850769043
16,0.3188267648220062,0.8914621472358704,0.41447797417640686,0.8746517896652222,0.0005000000237487257,85.7569305896759
17,0.3124559819698334,0.8907708525657654,0.40708333253860474,0.8746517896652222,0.0005000000237487257,86.2420666217804
18,0.31132012605667114,0.8943426609039307,0.41174107789993286,0.8746517896652222,0.0005000000237487257,85.56017088890076
19,0.31335344910621643,0.8912317156791687,0.4042820930480957,0.8830083608627319,0.0005000000237487257,84.4820806980133
20,0.3136821389198303,0.8906555771827698,0.4089445471763611,0.8774373531341553,0.0005000000237487257,84.92917513847351
21,0.3149760663509369,0.8911164999008179,0.41680851578712463,0.8802228569984436,0.0005000000237487257,88.22621178627014
22,0.3110376000404358,0.8923839330673218,0.3997032642364502,0.8802228569984436,0.0005000000237487257,88.08478951454163
23,0.31341445446014404,0.8900794982910156,0.4014677405357361,0.8746517896652222,0.0005000000237487257,87.71336770057678
24,0.31169235706329346,0.8933056592941284,0.4093295931816101,0.8774373531341553,0.0005000000237487257,89.33672595024109
25,0.3056703805923462,0.8938817977905273,0.42117080092430115,0.8774373531341553,0.0005000000237487257,87.2788999080658
26,0.30458712577819824,0.8937665820121765,0.40847569704055786,0.8857938647270203,0.0005000000237487257,86.1250479221344
27,0.3077538311481476,0.8930752277374268,0.4148178696632385,0.8718662858009338,0.0005000000237487257,85.18391418457031
28,0.29901936650276184,0.8964166641235352,0.4045785069465637,0.8802228569984436,0.0002500000118743628,85.10089302062988
29,0.30553296208381653,0.8942274451255798,0.40548035502433777,0.8718662858009338,0.0002500000118743628,84.96991658210754
30,0.30117982625961304,0.8973383903503418,0.40817511081695557,0.8774373531341553,0.0002500000118743628,85.25608777999878
31,0.2944250702857971,0.8963013887405396,0.40748777985572815,0.8746517896652222,0.0002500000118743628,86.75439071655273
32,0.3001633584499359,0.8968775272369385,0.40217530727386475,0.8802228569984436,0.0002500000118743628,84.70092844963074
33,0.2959137260913849,0.8942274451255798,0.4072882831096649,0.8718662858009338,0.0001250000059371814,84.96560525894165
34,0.2964446246623993,0.8956100940704346,0.4020642042160034,0.8718662858009338,0.0001250000059371814,85.06505250930786
35,0.294013649225235,0.8994123935699463,0.4063727557659149,0.8746517896652222,0.0001250000059371814,86.00367999076843
36,0.2929220497608185,0.9002189040184021,0.4029439091682434,0.8690807819366455,0.0001250000059371814,85.55901956558228
37,0.29789915680885315,0.8952644467353821,0.40540385246276855,0.8774373531341553,0.0001250000059371814,85.53950500488281
38,0.2942872643470764,0.8989514708518982,0.40536901354789734,0.8718662858009338,6.25000029685907e-05,87.54247331619263
39,0.29132798314094543,0.9001036882400513,0.4052467942237854,0.8802228569984436,6.25000029685907e-05,85.01279711723328
40,0.2970122992992401,0.894112229347229,0.406496524810791,0.8802228569984436,6.25000029685907e-05,85.50965332984924
41,0.29557934403419495,0.9004493355751038,0.40612202882766724,0.8802228569984436,6.25000029685907e-05,85.44164824485779
42,0.29703643918037415,0.8944578766822815,0.4051538407802582,0.8718662858009338,6.25000029685907e-05,86.09901118278503
