,Diabetic_Retinopathy,Media_Hazy,Myopic_Retinopathy,Normal,Optic_Disc_Disorder
Diabetic_Retinopathy,28,0,0,5,1
Media_Hazy,0,42,1,1,2
Myopic_Retinopathy,1,1,25,1,1
Normal,1,1,1,218,1
Optic_Disc_Disorder,1,0,2,15,10
