,Diabetic_Retinopathy,Media_Hazy,Myopic_Retinopathy,Normal,Optic_Disc_Disorder
Diabetic_Retinopathy,27,1,1,4,1
Media_Hazy,0,43,2,1,0
Myopic_Retinopathy,2,2,24,1,0
Normal,1,1,2,217,1
Optic_Disc_Disorder,1,2,1,14,10
