,Diabetic_Retinopathy,Media_Hazy,Myopic_Retinopathy,Normal,Optic_Disc_Disorder
Diabetic_Retinopathy,24,2,1,7,0
Media_Hazy,0,45,1,0,0
Myopic_Retinopathy,2,3,24,0,0
Normal,3,2,2,215,0
Optic_Disc_Disorder,3,3,2,18,2
