,Diabetic_Retinopathy,Media_Hazy,Myopic_Retinopathy,Normal,Optic_Disc_Disorder
Diabetic_Retinopathy,25,1,1,6,1
Media_Hazy,1,44,0,0,1
Myopic_Retinopathy,3,0,25,1,0
Normal,2,1,2,217,0
Optic_Disc_Disorder,0,1,2,17,8
