epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_sec
1,0.6975737810134888,0.7652955651283264,0.4948301911354065,0.8467966318130493,0.0010000000474974513,104.53982591629028
2,0.509847104549408,0.8278603553771973,0.4570106267929077,0.8523676991462708,0.0010000000474974513,44.74364995956421
3,0.46934381127357483,0.8447977900505066,0.47742748260498047,0.8384401202201843,0.0010000000474974513,44.16221570968628
4,0.4350644648075104,0.850674033164978,0.4483330547809601,0.8384401202201843,0.0010000000474974513,45.03889846801758
5,0.4149729013442993,0.8582786321640015,0.4574790596961975,0.8523676991462708,0.0010000000474974513,43.51065182685852
6,0.4104093313217163,0.8568959832191467,0.46489962935447693,0.8467966318130493,0.0010000000474974513,43.337942123413086
7,0.38756778836250305,0.8634635210037231,0.4690312147140503,0.8384401202201843,0.0010000000474974513,43.78986310958862
8,0.36420130729675293,0.873833417892456,0.4301919639110565,0.8607242107391357,0.0010000000474974513,44.192341566085815
9,0.3689185082912445,0.8741790652275085,0.47047969698905945,0.8384401202201843,0.0010000000474974513,43.18521046638489
10,0.3510713577270508,0.880746603012085,0.42875880002975464,0.8412256240844727,0.0010000000474974513,43.77937865257263
11,0.3281957805156708,0.8873142004013062,0.4343532919883728,0.844011127948761,0.0010000000474974513,43.508944511413574
12,0.34840384125709534,0.8797096610069275,0.4320320785045624,0.8495821952819824,0.0010000000474974513,43.081246852874756
13,0.33494725823402405,0.8848945498466492,0.42991161346435547,0.8579387068748474,0.0010000000474974513,43.45476198196411
14,0.32201340794563293,0.8897338509559631,0.41826337575912476,0.8579387068748474,0.0010000000474974513,44.15499925613403
15,0.3204420506954193,0.8873142004013062,0.4525882303714752,0.8579387068748474,0.0010000000474974513,43.61563229560852
16,0.324078232049942,0.8817836046218872,0.4155765175819397,0.8607242107391357,0.0010000000474974513,43.95375370979309
17,0.30972152948379517,0.8935361504554749,0.4250965714454651,0.8495821952819824,0.0010000000474974513,43.68983483314514
18,0.30519968271255493,0.8848945498466492,0.42590072751045227,0.8579387068748474,0.0010000000474974513,43.46644139289856
19,0.3019152879714966,0.8931904435157776,0.43163442611694336,0.8495821952819824,0.0010000000474974513,44.0774564743042
20,0.3085027039051056,0.8914621472358704,0.42465028166770935,0.8579387068748474,0.0010000000474974513,44.27445602416992
21,0.2913849651813507,0.899066686630249,0.4413750469684601,0.8551532030105591,0.0010000000474974513,44.53046894073486
22,0.28115615248680115,0.8973383903503418,0.4308422803878784,0.8551532030105591,0.0005000000237487257,43.966261863708496
23,0.27411115169525146,0.9025233387947083,0.4290960133075714,0.8607242107391357,0.0005000000237487257,44.16308069229126
24,0.27157220244407654,0.9025233387947083,0.4310731291770935,0.8551532030105591,0.0005000000237487257,44.15186548233032
25,0.2707338333129883,0.904597282409668,0.42996716499328613,0.8551532030105591,0.0005000000237487257,44.52216839790344
26,0.2693524956703186,0.904597282409668,0.43443727493286133,0.8467966318130493,0.0005000000237487257,44.55731916427612
27,0.25403884053230286,0.9111648797988892,0.4227592349052429,0.8523676991462708,0.0002500000118743628,44.438387632369995
28,0.25692328810691833,0.9028689861297607,0.4308347702026367,0.8523676991462708,0.0002500000118743628,44.93537878990173
29,0.25658491253852844,0.9083995819091797,0.4363410174846649,0.8495821952819824,0.0002500000118743628,46.22271704673767
30,0.2601911425590515,0.904597282409668,0.42028936743736267,0.8579387068748474,0.0002500000118743628,45.941524505615234
31,0.2545248866081238,0.9118562340736389,0.42435598373413086,0.8551532030105591,0.0002500000118743628,45.92708349227905
32,0.25986436009407043,0.9073625802993774,0.42199957370758057,0.8523676991462708,0.0001250000059371814,44.38369917869568
33,0.24485716223716736,0.9142758250236511,0.4308997392654419,0.8467966318130493,0.0001250000059371814,43.83688735961914
34,0.2539295256137848,0.9087452292442322,0.4241768717765808,0.8523676991462708,0.0001250000059371814,44.25915861129761
35,0.26268666982650757,0.9056342840194702,0.42131471633911133,0.8551532030105591,0.0001250000059371814,44.16194295883179
36,0.255042165517807,0.9135845303535461,0.4259132742881775,0.8551532030105591,0.0001250000059371814,43.97791051864624
